position,true_level,mvr_mean_rank,mvr_std_rank,mvr_layer,z_dev,n_records
中央|政府_国务院|国家公务员局|副局长,副部,252.295,12.823044685253196,6,-0.2713007766702572,4
中央|政府_国务院|监察部/厅/局|副部长,副部,250.79125,36.08670355459888,6,-0.2905000655294766,4
省级|党委|党委常委会/政治局 |常委,副部,249.24125,3.6459633072070323,6,-0.3102898562073086,432
省级|党委|直属机关工作委员会|副书记,正厅,246.9775,30.882713510149983,6,2.1203973856618914,3
中央|学校|四川省委党校|院长,副部,244.985,14.991323323843043,6,-0.3646319830282913,4
中央|党委|人民日报社|总编辑,正部,244.23375,4.982630925274328,6,-2.984713362930998,5
省级|政府_国务院|政府/国务院（综合）|副省长（常委）,副部,243.9775,34.31431179187484,6,-0.37749534696888254,3
省级|党委|党委常委会/政治局 |省委常委,副部,243.36,6.050033057760926,6,-0.38537934422279285,72
省级|人大|人大常委会|副秘书长,正厅,243.2275,18.594777324560784,6,2.0577856651429083,4
省级|党委|财经领导小组办公室|主任,副部,241.675,22.81670166785728,6,-0.40689276183062983,3
中央|政府_国务院|政府/国务院办公厅|副秘书长,正部,241.09875,16.327017438512755,6,-3.0476079616461593,7
省级|行业协会_人民团体|总工会|常务副主席,正厅,240.94125,19.86014346467567,6,2.0196133861998353,3
省级|党委|宣传部（党委）|部长,副部,239.50625,5.221107252058697,6,-0.43458250927098396,106
副省级市|党委|党委常委会/政治局 |书记,副部,239.3325,6.637352164078688,6,-0.4368008809679343,61
中央|党委|纪律检查委员会|常委,副部,239.195,36.05248916510482,6,-0.43855642691516156,6
省级|政府_国务院|政府/国务院（综合）|副主席,副部,236.25875,6.0536599208660675,6,-0.47604531264276473,101
中央|政府_国务院|工商行政管理局|副局长,副部,235.08875,27.24171201370245,6,-0.49098341270280565,8
省级|党委|党委办公厅 /室|办公厅主任,副部,231.54625,8.000647532387603,6,-0.5362126601068191,4
省级|党委|企业工作委员会|书记,副部,230.68375,6.5152694447351935,6,-0.5472247210485159,9
省级|政府_国务院|政府/国务院（综合）|政府副主席,副部,230.27,9.597895602682904,6,-0.5525073183988081,3
中央|政府_国务院|广播电影电视部 /厅/局|副局长,副部,230.08,7.330320593261932,6,-0.5549331637077036,3
省级|政府_国务院|公安部/厅/局|厅长,副部,229.9025,7.489024886458872,6,-0.5571994139304878,50
省级|党委|教育工作委员会|书记,副部,228.02,8.2966619793746,6,-0.5812344338988872,17
省级|党委|统战部（党委）|统战部部长,副部,227.5675,20.91967838543412,6,-0.5870117760161254,6
中央|学校|中央党校|副校长,副部,226.795,30.412012018279885,6,-0.5968747523378193,5
省级|党委|组织部 （党委）|省委常委,副部,226.2075,18.465019462486367,6,-0.6043757213850619,3
省级|政协|政协常委会|秘书长,正厅,225.83125,20.638926169679987,6,1.767329893655348,6
中央|中央企业|上海宝钢集团公司|党委常委,副部,224.33,25.36170538429938,6,-0.6283469033190167,3
中央|党委|组织部 （党委）|局长,正厅,222.6975,27.08502342162548,6,1.7150073658749845,13
省级|政府_国务院|政府/国务院（综合）|常委副省长,副部,222.67,14.415567973548605,6,-0.6495411307546308,12
省级|政府_国务院|政府/国务院（综合）|副省长,副部,220.49,5.086491914866291,6,-0.6773745137724849,377
省级|党委|党委常委会/政治局 |秘书长,副部,216.86625,4.518944670772129,5,-0.7236411292362233,136
省级|党委|直属机关工作委员会|第一书记,副部,213.60375,36.88298030172591,5,-0.7652954467113381,3
中央|政府_国务院|工业和信息化（信息产业）部/厅/局|局长,副部,212.60875,15.306148223426426,5,-0.7779992155658175,3
中央|学校|上海市委党校|校长,副部,211.655,21.59012447856657,5,-0.7901763206361286,3
省级|政府_国务院|政府/国务院（综合）|党组成员,副部,211.36375,7.019717653688088,5,-0.7938948861425276,21
省级|政府_国务院|政府/国务院（综合）|秘书长,正厅,211.09625,5.435713930800627,5,1.5213075731627583,58
中央|政府_国务院|人民银行|副行长,副部,210.9975,21.16022196835373,5,-0.7985710221655962,4
中央|政府_国务院|中央文化体制改革工作领导小组|成员,副部,210.11625,28.794665060345825,5,-0.8098224757364604,3
省级|军队|济南军区|政委,副部,209.90125,26.687337792247085,5,-0.8125675112175791,4
省级|政府_国务院|国有资产监督管理委员会|主任,正厅,209.5075,28.535634630230348,5,1.494781074236216,19
中央|共青团|共青团委|常务书记,副部,208.50125,14.240961991294697,5,-0.8304421608620727,5
中央|政府_国务院|国务院/政府扶贫开发(领导小组)办公室|副组长,副部,208.16125,34.381648425250056,5,-0.8347831472043069,3
省级|政府_国务院|政府/国务院（综合）|副市长,副部,206.52875,6.961441907931148,5,-0.8556262654504753,64
中央|中央企业|中国石油天然气集团公司|副总经理,副部,204.95375,33.854750197535076,5,-0.8757352463005305,3
省级|党委|党委办公厅 /室|主任,副部,204.89,6.8657046251641205,5,-0.8765491812396997,44
中央|学校|厦门大学|学员,正厅,204.01875,34.567266285280546,5,1.403138385969932,3
中央|党委|金融工作办公室/委员会|副书记,副部,203.54125,25.499280351364806,5,-0.8937694910311359,3
副省级市|政府_国务院|政府/国务院（综合）|市长,副部,203.27125,10.207726163916245,5,-0.8972167448911451,61
省级|党委|组织部 （党委）|常务副部长,正厅,199.51,11.857377450347112,5,1.327858227332608,14
中央|政府_国务院|财政部/厅/局|副部长,副部,196.76875,19.437149313556784,5,-0.9802381086863735,4
中央|政府_国务院|农业部/厅/局|副部长,副部,196.32875,44.19856528709387,5,-0.9858558557175,4
地级市|党委|党委常委会/政治局 |地委书记,正厅,196.1,18.135117865621897,5,1.2709233028073466,8
省级|政府_国务院|政府/国务院办公厅|主任,正厅,195.3625,7.149901660162871,5,1.2586096644386136,21
地级市|军队|省级军区|党委第一书记,正厅,194.915,14.629773579929386,5,1.251137999123348,4
省级|党委|直属机关工作委员会|第一副书记,正厅,194.46125,10.987310791886234,5,1.2435619809405514,3
省级|党委|党委常委会/政治局 |党委常委,副部,192.3725,14.893832406402314,5,-1.0363677004718057,7
中央|政府_国务院|政府/国务院研究室|副主任,副部,191.79875,40.39236621488647,5,-1.0436931149243258,3
省级|党委|统战部（党委）|统战部长,副部,191.08875,32.204399908048295,5,-1.052758115815462,3
中央|学校|广西师范大学|学员,正厅,190.34,18.239912280490827,5,1.1747517000901893,3
省级|法院_检察院|人民检察院|检察长,副部,190.19375,15.176172473239085,5,-1.064185123981049,10
省级|政府_国务院|政府/国务院（综合）|省长助理,正厅,189.97375,11.492086883482038,5,1.168636622052835,33
中央|学校|武汉大学|学员,副厅,189.76125,15.761876425016792,5,4.049093673481219,6
省级|党委|机构编制委员会|主任,正厅,188.63875,13.07041500632248,5,1.146346849548077,10
中央|学校|西安交通大学|学员,正厅,187.54875,8.36645823736066,5,1.1281477094505599,5
地级市|人大|人大常委会|主任,正厅,186.28375,11.79218961590679,5,1.107026689062156,51
省级|军队|新疆生产建设兵团|党委第一书记,正厅,186.2425,26.515489694704883,5,1.1063379601364476,5
