position,true_level,spring_rank,z_dev,layer,n_records
中央|共青团|青年联合会|副主席,副部,-0.6601021018265358,-1.8410242518352444,2,6
中央|党委|国家机关工作委员会|副书记,副部,-0.6629431501092741,-1.847431448826765,2,4
省级|军队|警备区|司令员,副部,-0.6712474898592461,-1.8661595855451254,2,3
中央|法院_检察院|人民检察院|副检察长,副部,-0.6721569982275472,-1.86821072959521,2,3
省级|政府_国务院|卫生部/厅/局|厅长,正厅,-0.6762707190140553,0.02706414446607188,2,5
中央|学校|重庆市委党校|学员,正厅,-0.6775742203650877,0.02327908234430862,2,3
省级|政府_国务院|食品药品监督管理局/食品安全委员会|局长,正厅,-0.680935457964921,0.013518836901295503,2,4
省级|政府_国务院|财政部/厅/局|厅长,正厅,-0.6810249212768721,0.013259056431497643,2,12
省级|军队|省级军区|政委,副部,-0.6822010903880169,-1.8908623956947002,2,5
省级|政府_国务院|商务部/厅/局|厅长,正厅,-0.6850017706518393,0.001711218816120988,2,4
副省级市|政府_国务院|政府/国务院（综合）|副市长,正厅,-0.6889415614804854,-0.009729009474680096,2,24
地级市|政府_国务院|政府/国务院（综合）|常务副州长,副厅,-0.6971724882675224,1.639549176490456,2,3
省级|行业协会_人民团体|妇女联合会|主席,正厅,-0.7038553994145303,-0.053035296046274286,1,4
中央|行业协会_人民团体|煤炭工业协会|副会长,正厅,-0.7074398524131051,-0.06344370664086281,1,3
中央|军队|国防大学|学员,副部,-0.7235171894163539,-1.984039406097559,1,3
地级市|政府_国务院|政府/国务院（综合）|州长,正厅,-0.735956779126364,-0.14625017174039254,1,19
省级|党委|党委政策研究室|主任,正厅,-0.7377757898751895,-0.15153215221475608,1,15
副省级市|党委|经济技术开发区管委会|书记,正厅,-0.7400125987242668,-0.1580273203567466,1,4
其他|党委|党委常委会/政治局 |书记,正厅,-0.748997714201919,-0.18411798779425528,1,4
中央|学校|清华大学、哈佛大学公共管理高级培训班|学员,正厅,-0.7528225998424111,-0.19522455837543368,1,3
地级市|政府_国务院|政府/国务院（综合）|市长,正厅,-0.754292168976225,-0.1994918423788648,1,388
省级|政府_国务院|政府/国务院（综合）|副秘书长,正厅,-0.7565042843816402,-0.20591530655354667,1,51
省级|政府_国务院|工商行政管理局|局长,正厅,-0.7607349855513678,-0.21820027022723387,1,7
中央|学校|国家行政学院|主任,正厅,-0.7611803320912139,-0.2194934521005745,1,4
省级|党委|滨海新区工作委员会|副书记,正厅,-0.7640843569357059,-0.22792605896426507,1,4
省级|党委|纪律检查委员会|纪委副书记,正厅,-0.7688582206001529,-0.24178823909660538,1,15
中央|学校|中国政法大学|学员,副厅,-0.7699113977019274,1.3635525062908413,1,3
省级|政府_国务院|经济贸易委员会|主任,正厅,-0.77139737329787,-0.24916134284512848,1,17
省级|政府_国务院|政府/国务院办公厅|党组成员,副厅,-0.7849144550297272,1.3066256992011531,1,5
省级|政府_国务院|科学技术部/厅/局（科学技术委员会）|厅长,正厅,-0.7873861807838706,-0.29558908880756524,1,5
副省级市|党委|经济技术开发区管委会|主任,正厅,-0.790305079952743,-0.30406488721973784,1,4
省级|法院_检察院|人民法院|副院长,正厅,-0.7909017697947854,-0.3057975345374923,1,3
副省级市|政府_国务院|政府/国务院（综合）|常务副市长,正厅,-0.803962680187917,-0.3437233542273846,1,10
省级|党委|党委常委会/政治局 |副秘书长,正厅,-0.8040784821154673,-0.34405961585783923,1,53
副省级市|党委|直属机关工作委员会|书记,正厅,-0.8086072683285606,-0.35721014856665945,1,3
地级市|政府_国务院|政府/国务院（综合）|盟长,正厅,-0.8124706920721515,-0.36842862475819144,1,7
省级|党委|统战部（党委）|副部长,正厅,-0.8150806733729533,-0.3760073981536704,1,3
中央|学校|北京师范大学|学员,正厅,-0.8278100288960821,-0.41297046028390283,1,4
