position,true_level,rank_广东省,std_广东省,n_广东省,rank_上海市,std_上海市,n_上海市,rank_北京市,std_北京市,n_北京市
省级|其他|不详|待职,副部,,,,29.0475,6.651709836575854,2.0,,,
省级|军队|上海警备区|政委,副部,,,,21.625,11.446587919550524,2.0,,,
省级|地方企业|贝尔有限公司|常务副总裁,副厅,,,,13.25,9.895579821314161,2.0,,,
省级|学校|上海市委党校|校长,副部,,,,32.39,2.7509816429776475,3.0,,,
省级|学校|上海市委党校|院长,副部,,,,21.06,3.3318763482458342,2.0,,,
省级|学校|中国人民大学|学员,正厅,,,,,,,16.8,10.98908549425292,10.0
省级|学校|中国浦东干部学院|第一副院长,副部,,,,33.95,3.1372758884102003,2.0,,,
省级|学校|中央党校|学员,正厅,,,,,,,13.08,10.3350665213147,7.0
省级|学校|中欧国际工商学院|学员,正厅,,,,15.9925,10.775548419918126,4.0,,,
省级|学校|北京市委党校|校长,副部,,,,,,,31.9275,4.3147704168356364,6.0
省级|学校|北京师范大学|学员,正厅,,,,,,,22.155,11.989619468523593,3.0
省级|学校|华南理工大学|学员,正厅,5.82,4.214569966200589,3.0,,,,,,
省级|学校|同济大学|学员,副部,,,,25.7675,10.30429249148141,3.0,,,
省级|学校|国家行政学院|主任,正厅,,,,,,,30.52,10.655965465409508,2.0
省级|学校|外交学院|学员,正厅,,,,,,,13.44,10.278443461925546,2.0
省级|学校|广东省委党校|校长,副部,29.345,2.0250864179091224,3.0,,,,,,
省级|学校|清华大学|主任,副部,,,,,,,30.345,9.694894274823213,2.0
省级|学校|清华大学|副校长,副厅,,,,,,,31.2375,10.999367879564716,2.0
省级|学校|清华大学|处长,正处,,,,,,,21.1375,10.84428853129609,2.0
省级|学校|清华大学|学员,副部,,,,,,,28.855,11.288001373139533,15.0
省级|学校|清华大学|部长,副厅,,,,,,,12.49,10.460635735938801,2.0
省级|学校|清华大学|院长,正厅,,,,,,,15.1975,10.343524242249352,2.0
省级|学校|长江商学院|学员,正厅,,,,,,,29.04,10.653797445042775,5.0
省级|政协|政协常委会|主席,正部,40.4325,1.650891804449949,4.0,36.135,3.3063234868959737,3.0,40.2175,3.1867214735524043,3.0
省级|政协|政协常委会|党组书记,副部,,,,,,,13.6975,7.529010144102609,2.0
省级|政协|政协常委会|副主席,副部,41.7825,1.7649911472865798,10.0,23.405,2.7876468571180246,6.0,28.5575,8.956098131999227,4.0
省级|政协|政协常委会|政协副主席,副部,24.25,10.295023069425342,2.0,,,,,,
省级|政府_国务院|住房和城乡建设(建设)部/厅/局|主任,正厅,,,,,,,10.0575,12.405812901619951,2.0
省级|政府_国务院|住房和城乡建设(建设)部/厅/局|党组书记,正厅,,,,,,,15.6475,13.578595058031594,2.0
省级|政府_国务院|公安部/厅/局|厅长,副部,23.3925,4.964216327880971,4.0,,,,,,
省级|政府_国务院|公安部/厅/局|局长,副部,,,,10.425,2.6352182072837906,2.0,10.8775,7.1138944151568655,4.0
省级|政府_国务院|发展改革/计划委员会|副主任,副厅,3.1775,2.762425338357574,2.0,,,,,,
省级|政府_国务院|国有资产监督管理委员会|主任,正厅,6.59,4.290908994607088,2.0,,,,,,
省级|政府_国务院|政府/国务院办公厅|主任,正厅,,,,10.69,1.974563242846378,3.0,,,
省级|政府_国务院|政府/国务院（综合）|党组成员,副部,,,,,,,36.545,5.135462491343889,2.0
省级|政府_国务院|政府/国务院（综合）|副市长,副部,,,,16.685,1.9444215078012286,16.0,28.4125,4.2458619560697,18.0
省级|政府_国务院|政府/国务院（综合）|副省长,副部,21.4875,1.816547205552338,17.0,,,,,,
省级|政府_国务院|政府/国务院（综合）|副秘书长,正厅,7.395,2.8738432455511576,4.0,8.435,4.948310317674102,10.0,26.4775,8.07988203812407,3.0
省级|政府_国务院|政府/国务院（综合）|市长,正部,,,,31.6475,4.069796524397751,3.0,23.57,8.945954392908563,4.0
省级|政府_国务院|政府/国务院（综合）|常务副市长,副部,,,,26.195,4.080070465077779,4.0,,,
省级|政府_国务院|政府/国务院（综合）|常务副省长,副部,24.66,1.6998235202514405,5.0,,,,,,
省级|政府_国务院|政府/国务院（综合）|省长,正部,33.3375,6.466343151271816,2.0,,,,,,
省级|政府_国务院|政府/国务院（综合）|秘书长,正厅,,,,9.1575,1.8541018715270228,3.0,,,
省级|法院_检察院|人民法院|党组书记,副部,,,,12.09,8.091161844877407,2.0,,,
省级|行业协会_人民团体|总工会|主席,副部,38.535,4.150153611614876,2.0,22.87,9.468532093202201,2.0,26.185,7.843199283455698,3.0
